General : Start date,11/21/2024 9:54,
General : End date,11/21/2024 9:55,
Specimen Notes:,"Black, 215, Print 4, Object 2, Seq 35",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
36.1,4.81368,180.17329
36.2,4.82698,180.63647
36.3,4.84031,179.74852
36.4,4.85369,180.74699
36.5,4.86702,181.96568
36.6,4.88038,182.35362
36.7,4.89371,182.43042
36.8,4.90699,183.27293
36.9,4.92024,183.91479
37,4.9335,184.62094
37.1,4.94683,185.08568
37.2,4.96018,184.47359
37.3,4.97354,184.94383
37.4,4.98692,185.95955
37.5,5.0003,186.82713
37.6,5.0136,186.75816
37.7,5.02691,186.8475
37.8,5.04019,186.89061
37.9,5.05362,188.13124
38,5.06697,188.79819
38.1,5.0803,188.55916
38.2,5.09363,188.43141
38.3,5.10699,190.12895
38.4,5.12034,190.06783
38.5,5.1337,189.5208
38.6,5.147,190.25514
38.7,5.16026,191.78653
38.8,5.17361,192.68469
38.9,5.18692,192.20192
39,5.20017,191.84062
39.1,5.21348,193.63065
39.2,5.22683,193.91827
39.3,5.24016,194.90813
39.4,5.25352,194.92223
39.5,5.26687,194.58289
39.6,5.28028,194.79527
39.7,5.29371,196.11897
39.8,5.30699,196.17383
39.9,5.32034,195.77649
40,5.33362,196.33998
40.1,5.347,196.81885
40.2,5.36031,197.41997
40.3,5.37364,197.28046
40.4,5.38694,197.70053
40.5,5.40027,198.4827
40.6,5.4136,199.39182
40.7,5.42688,198.68959
40.8,5.44021,198.90433
40.9,5.45362,199.93494
41,5.46695,200.5815
41.1,5.4802,199.54543
41.2,5.49353,200.34248
41.3,5.50691,200.86523
41.4,5.52029,200.56113
41.5,5.53362,201.97263
41.6,5.5469,202.8026
41.7,5.56021,202.25868
41.8,5.57361,201.88173
41.9,5.58702,203.08394
42,5.60032,203.9727
42.1,5.6136,203.04005
42.2,5.62691,203.44135
42.3,5.64029,204.00249
42.4,5.65364,204.19527
42.5,5.66702,204.8105
42.6,5.68035,204.09808
42.7,5.69368,204.96724
42.8,5.70696,206.19298
42.9,5.72022,205.75958
43,5.73355,205.93593
43.1,5.7469,207.57077
43.2,5.76023,207.40384
43.3,5.77359,206.62952
43.4,5.78694,208.01987
43.5,5.80032,207.00572
43.6,5.8136,206.77138
43.7,5.82686,208.26515
43.8,5.84019,209.09357
43.9,5.85359,208.23695
44,5.86692,208.30669
44.1,5.88028,209.89217
44.2,5.89361,209.19075
44.3,5.90699,208.50575
44.4,5.92032,209.22914
44.5,5.93372,210.32243
44.6,5.94698,210.52307
44.7,5.96031,209.8663
44.8,5.97369,210.3342
44.9,5.98692,211.88362
45,6.0002,210.98077
45.1,6.0135,211.29739
45.2,6.02686,211.09206
45.3,6.04016,211.91968
45.4,6.05349,212.00352
45.5,6.06685,212.10464
45.6,6.08023,212.68381
45.7,6.09361,212.01999
45.8,6.10694,212.29507
45.9,6.12029,213.24025
46,6.13362,213.69403
46.1,6.147,213.65718
46.2,6.16033,213.3437
46.3,6.17369,214.01613
46.4,6.18697,213.77318
46.5,6.20035,213.43303
46.6,6.21363,213.763
46.7,6.22691,214.09607
46.8,6.24024,215.25287
46.9,6.25364,215.32262
47,6.2669,214.63528
47.1,6.28018,215.40961
47.2,6.29353,216.06873
47.3,6.30686,216.18158
47.4,6.32027,216.46214
47.5,6.33357,215.96684
47.6,6.34688,215.76151
47.7,6.36021,216.75839
47.8,6.37369,217.93086
47.9,6.38704,216.5507
48,6.40035,216.77094
48.1,6.41365,217.55229
48.2,6.42701,218.53665
48.3,6.44034,217.32344
48.4,6.45369,217.33755
48.5,6.46705,218.12599
48.6,6.48035,217.22629
48.7,6.49366,218.21613
48.8,6.50689,218.15578
48.9,6.52014,218.95831
49,6.53347,219.21303
49.1,6.54685,219.06097
49.2,6.56023,219.15033
49.3,6.57359,219.68405
49.4,6.58699,219.18402
49.5,6.6003,219.24046
49.6,6.6136,219.35408
49.7,6.62685,218.81804
49.8,6.64026,220.10648
49.9,6.65364,221.15744
50,6.66697,220.73738
50.1,6.68033,219.84862
50.2,6.69363,220.21541
50.3,6.70699,221.15118
50.4,6.72034,220.99207
50.5,6.73365,220.44504
50.6,6.7469,221.07516
50.7,6.76026,221.57672
50.8,6.77356,220.98581
50.9,6.78684,221.09789
51,6.80014,221.73819
51.1,6.81355,221.87613
51.2,6.82685,221.70448
51.3,6.84016,222.55638
