General : Start date,11/21/2024 10:42,
General : End date,11/21/2024 10:43,
Specimen Notes:,"Purple, 230, Print 2, Object 2, Seq 57",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
27.7,3.69358,125.21533
27.8,3.70696,125.14323
27.9,3.72027,125.55625
28,3.73365,125.55155
28.1,3.74693,126.47791
28.2,3.76033,127.84631
28.3,3.77366,128.19664
28.4,3.78697,128.4968
28.5,3.80032,129.31422
28.6,3.81363,129.21861
28.7,3.82693,131.07524
28.8,3.84019,130.68495
28.9,3.85354,131.3911
29,3.86695,130.8754
29.1,3.88035,132.48439
29.2,3.89356,132.77907
29.3,3.90689,134.06517
29.4,3.92024,134.34103
29.5,3.93362,133.84337
29.6,3.94693,134.85986
29.7,3.96023,135.73528
29.8,3.97359,136.60992
29.9,3.98697,136.03545
30,4.00032,137.30508
30.1,4.01363,137.58646
30.2,4.02693,137.45399
30.3,4.04021,138.76674
30.4,4.05357,139.14685
30.5,4.0669,139.13351
30.6,4.0803,140.8679
30.7,4.09371,140.64218
30.8,4.10704,141.04346
30.9,4.12034,140.78404
31,4.13365,142.33347
31.1,4.14688,141.96747
31.2,4.16021,143.61407
31.3,4.17356,143.67755
31.4,4.18689,144.33588
31.5,4.20032,145.85318
31.6,4.21368,145.00127
31.7,4.22696,145.76227
31.8,4.24019,144.83276
31.9,4.25354,146.12199
32,4.26692,146.85556
32.1,4.28023,147.98021
32.2,4.29358,148.57114
32.3,4.30694,148.69183
32.4,4.32029,148.58603
32.5,4.33365,149.45596
32.6,4.34703,150.22244
32.7,4.36033,150.26949
32.8,4.37366,150.55867
32.9,4.38699,151.08847
33,4.40025,151.23424
33.1,4.41353,152.28679
33.2,4.42686,152.75937
33.3,4.44021,153.79153
33.4,4.45347,154.64893
33.5,4.46685,154.17165
33.6,4.48018,155.18422
33.7,4.49353,154.96007
33.8,4.50694,155.01727
33.9,4.52024,155.43501
34,4.5336,156.73129
34.1,4.54693,156.70699
34.2,4.56033,158.07224
34.3,4.57364,158.02835
34.4,4.58699,158.32852
34.5,4.60037,158.88811
34.6,4.61368,158.83168
34.7,4.62691,159.97905
34.8,4.64019,160.92735
34.9,4.65357,160.30742
35,4.66702,160.9156
35.1,4.6803,161.2189
35.2,4.69353,162.04103
35.3,4.70686,162.88745
35.4,4.72019,163.06615
35.5,4.73357,163.3334
35.6,4.74685,164.1618
35.7,4.76021,164.29346
35.8,4.77356,164.21509
35.9,4.78699,164.73941
36,4.8003,165.72141
36.1,4.81363,166.1548
36.2,4.82696,167.09763
36.3,4.84029,167.01534
36.4,4.85362,167.51535
36.5,4.86697,167.94875
36.6,4.88035,168.50284
36.7,4.89373,168.66273
36.8,4.90704,169.00757
36.9,4.92029,168.90646
37,4.93357,170.21371
37.1,4.94683,170.78271
37.2,4.96018,171.144
37.3,4.97351,172.40659
