General : Start date,11/19/2024 10:20,
General : End date,11/19/2024 10:21,
Specimen Notes:,"Blue, 230, Print 6, Object 2, Seq 4",
Test : Rate 1,8,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
47.3,6.30686,194.13974
47.4,6.32027,193.61778
47.5,6.33355,193.17184
47.6,6.34688,194.84511
47.7,6.36026,194.44461
47.8,6.37366,194.91406
47.9,6.38697,194.66484
48,6.4003,195.40155
48.1,6.41365,193.99789
48.2,6.42698,195.78088
48.3,6.44029,195.8522
48.4,6.45359,195.78323
48.5,6.46697,195.55438
48.6,6.48033,196.25346
48.7,6.49366,195.83339
48.8,6.50691,196.76366
48.9,6.52022,197.57953
49,6.53352,197.58109
49.1,6.54688,197.35382
49.2,6.56018,196.86946
49.3,6.57353,197.73471
49.4,6.58697,197.81699
49.5,6.6003,197.64302
49.6,6.61357,198.38049
49.7,6.62688,198.15948
49.8,6.64031,197.89615
49.9,6.65367,198.15558
50,6.667,199.25279
50.1,6.6803,198.55684
50.2,6.69361,200.11253
50.3,6.70699,198.68379
50.4,6.72029,197.88205
50.5,6.7336,198.90874
50.6,6.7469,199.74417
50.7,6.76026,199.29039
50.8,6.77356,200.48009
50.9,6.78689,199.95576
51,6.80022,200.06081
51.1,6.8136,199.44716
51.2,6.82693,200.79045
51.3,6.84024,199.22301
51.4,6.85359,199.85623
51.5,6.86692,201.12433
51.6,6.88033,200.18541
51.7,6.89361,201.5005
51.8,6.90694,201.46603
51.9,6.92027,202.17766
52,6.93367,201.41194
52.1,6.94698,200.42682
52.2,6.96023,200.31393
52.3,6.97359,201.3132
52.4,6.98692,201.26852
52.5,7.00025,202.31479
52.6,7.01353,202.88849
52.7,7.02688,201.47543
52.8,7.04029,202.16901
52.9,7.05367,201.09923
53,7.06697,202.41042
53.1,7.08025,202.81403
53.2,7.09358,203.59305
53.3,7.10696,203.33992
53.4,7.12029,201.97778
53.5,7.13355,204.43008
53.6,7.1469,202.35007
53.7,7.16028,203.88773
53.8,7.17364,203.18709
53.9,7.18694,203.46924
54,7.20027,202.72939
54.1,7.21357,203.16122
