General : Start date,"10/29/2024 10:12 AM"
General : End date,"10/29/2024 10:13 AM"
Specimen notes : Specimen note 1,"Day 2, red, 215, batch 8, seq 27"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"31.20000","2.60007","3335.51660"
"31.30000","2.60854","3343.07153"
"31.40000","2.61650","3350.54199"
"31.50000","2.62477","3358.16113"
"31.60000","2.63354","3365.52930"
"31.70000","2.64220","3373.98975"
"31.80000","2.65047","3381.10132"
"31.90000","2.65884","3388.04712"
"32.00000","2.66710","3395.80469"
"32.10000","2.67516","3403.39160"
"32.20000","2.68343","3410.42090"
"32.30000","2.69200","3418.90796"
"32.40000","2.70077","3427.12769"
"32.50000","2.70883","3433.68042"
"32.60000","2.71669","3441.38892"
"32.70000","2.72506","3449.73730"
"32.80000","2.73352","3456.39478"
"32.90000","2.74199","3464.04761"
"33.00000","2.75036","3472.14233"
"33.10000","2.75872","3479.84961"
"33.20000","2.76709","3486.81274"
"33.30000","2.77535","3494.45312"
"33.40000","2.78342","3501.55713"
"33.50000","2.79178","3508.77197"
"33.60000","2.79995","3516.59473"
"33.70000","2.80841","3523.85571"
"33.80000","2.81708","3532.77930"
"33.90000","2.82545","3539.50977"
"34.00000","2.83381","3546.66162"
"34.10000","2.84168","3554.02124"
"34.20000","2.84984","3561.27515"
"34.30000","2.85841","3569.12134"
"34.40000","2.86697","3576.68335"
"34.50000","2.87554","3583.87598"
"34.60000","2.88381","3590.33521"
"34.70000","2.89177","3598.06934"
"34.80000","2.89993","3604.75928"
"34.90000","2.90840","3612.55591"
"35.00000","2.91687","3619.45190"
"35.10000","2.92543","3626.44312"
"35.20000","2.93380","3634.05688"
"35.30000","2.94217","3641.44849"
"35.40000","2.95033","3647.97998"
"35.50000","2.95839","3655.63477"
"35.60000","2.96676","3662.34741"
"35.70000","2.97513","3669.79565"
"35.80000","2.98329","3676.88989"
"35.90000","2.99206","3684.82349"
"36.00000","3.00053","3691.97021"
"36.10000","3.00879","3699.42456"
"36.20000","3.01655","3705.94336"
"36.30000","3.02492","3713.21411"
"36.40000","3.03359","3720.44751"
"36.50000","3.04195","3728.71045"
"36.60000","3.05022","3735.40112"
"36.70000","3.05878","3742.28589"
"36.80000","3.06695","3749.89062"
"36.90000","3.07491","3755.51807"
"37.00000","3.08338","3763.59229"
"37.10000","3.09215","3771.10913"
"37.20000","3.10061","3776.85156"
"37.30000","3.10868","3784.52734"
"37.40000","3.11684","3791.73804"
"37.50000","3.12531","3798.66211"
"37.60000","3.13347","3805.17847"
"37.70000","3.14174","3811.92090"
"37.80000","3.15041","3819.61353"
"37.90000","3.15877","3826.48560"
"38.00000","3.16704","3832.96094"
"38.10000","3.17520","3840.73120"
"38.20000","3.18337","3845.51074"
"38.30000","3.19163","3853.57373"
"38.40000","3.20020","3861.08301"
"38.50000","3.20887","3867.59424"
"38.60000","3.21733","3874.65625"
"38.70000","3.22560","3882.21704"
"38.80000","3.23366","3887.25220"
"38.90000","3.24162","3893.84521"
"39.00000","3.24989","3900.85327"
"39.10000","3.25846","3907.51147"
"39.20000","3.26692","3915.08667"
"39.30000","3.27539","3921.88696"
"39.40000","3.28376","3928.30859"
"39.50000","3.29182","3934.71875"
"39.60000","3.29998","3941.56128"
"39.70000","3.30835","3947.77539"
"39.80000","3.31682","3954.35132"
"39.90000","3.32538","3961.04614"
"40.00000","3.33375","3967.46069"
"40.10000","3.34212","3973.55005"
"40.20000","3.35018","3980.49463"
"40.30000","3.35824","3985.87744"
"40.40000","3.36671","3991.36133"
"40.50000","3.37528","3997.92480"
"40.60000","3.38364","4004.20386"
"40.70000","3.39221","4010.01758"
"40.80000","3.40058","4016.19897"
"40.90000","3.40864","4021.73853"
"41.00000","3.41650","4027.65088"
"41.10000","3.42497","4034.57593"
"41.20000","3.43374","4040.84888"
"41.30000","3.44200","4046.54883"
"41.40000","3.45027","4051.91992"
"41.50000","3.45863","4058.18823"
"41.60000","3.46680","4063.93604"
"41.70000","3.47486","4068.84766"
"41.80000","3.48343","4075.84717"
"41.90000","3.49210","4082.15747"
"42.00000","3.50056","4087.32397"
"42.10000","3.50863","4092.92578"
"42.20000","3.51669","4098.13086"
"42.30000","3.52506","4103.70605"
"42.40000","3.53322","4108.85400"
"42.50000","3.54179","4114.65576"
"42.60000","3.55046","4120.03467"
"42.70000","3.55882","4125.91943"
"42.80000","3.56709","4130.91504"
"42.90000","3.57515","4135.83154"
"43.00000","3.58342","4141.73242"
"43.10000","3.59178","4145.84033"
"43.20000","3.60015","4151.53027"
"43.30000","3.60871","4156.62451"
"43.40000","3.61728","4161.79053"
"43.50000","3.62555","4166.77393"
"43.60000","3.63361","4170.35059"
"43.70000","3.64167","4174.75928"
"43.80000","3.65004","4179.01074"
"43.90000","3.65871","4184.08887"
"44.00000","3.66748","4187.92627"
"44.10000","3.67554","4191.52979"
"44.20000","3.68350","4195.23682"
"44.30000","3.69157","4198.58301"
"44.40000","3.69993","4201.53564"
"44.50000","3.70840","4205.90137"
"44.60000","3.71697","4210.12842"
"44.70000","3.72543","4212.71045"
"44.80000","3.73380","4216.44287"
"44.90000","3.74186","4219.38477"
"45.00000","3.74993","4220.22021"
"45.10000","3.75839","4223.84961"
"45.20000","3.76686","4226.10303"
"45.30000","3.77512","4228.46582"
"45.40000","3.78359","4230.19043"
"45.50000","3.79226","4232.52051"
"45.60000","3.80042","4233.77051"
"45.70000","3.80839","4234.92090"
"45.80000","3.81655","4234.15625"
"45.90000","3.82512","4234.93555"
"46.00000","3.83389","4236.30566"
"46.10000","3.84215","4236.14160"
"46.20000","3.85042","4235.82666"
"46.30000","3.85868","4234.30469"
"46.40000","3.86685","4233.78760"
"46.50000","3.87511","4230.39355"
"46.60000","3.88348","4228.43066"
"46.70000","3.89205","4227.40674"
"46.80000","3.90021","4223.50684"
"46.90000","3.90837","4219.17529"
"47.00000","3.91674","4214.35107"
"47.10000","3.92490","4208.88184"
"47.20000","3.93337","4202.01514"
"47.30000","3.94184","4196.23389"
"47.40000","3.95030","4188.29492"
"47.50000","3.95867","4180.40625"
"47.60000","3.96693","4170.26074"
"47.70000","3.97510","4157.41699"
"47.80000","3.98336","4143.54639"
"47.90000","3.99173","4126.27100"
"48.00000","4.00030","4105.32031"
"48.10000","4.00897","4072.48804"
"48.20000","4.01733","4006.20728"
"48.22600","4.01955","3682.28442"
"48.23000","4.01995","3320.80420"
"48.23400","4.02025","2892.93237"
"48.23800","4.02076","2439.28442"
"48.24000","4.02096","2213.91431"
